StudentID,Year,GradeLevel,Semester,Term,Subject,SubjectType,ClassName,ItemType,ItemNumber,PossiblePoints,Score,DueDate,SubmittedDate,PretestScore,HomeworkCompletion,Participation,AssignmentAvg,TestScore,Attendance,StudyHours,ParentalSupport,SleepHours,ReadingHours,BehaviorScore,WeightedGPA_Elementary,WeightedGPA_HighSchool
STU0001,2024,5,Fall,Fall,History,Elective,World History,Pretest,1,100,53,2025-09-17,2025-09-17,45,84,5,74,42,96,5,5,9,1,9,3.0,3.43
STU0001,2024,5,Fall,Fall,History,Elective,World History,Assignment,2,50,80,2025-09-19,2025-09-19,44,58,6,78,56,96,5,5,9,1,9,3.0,3.43
STU0001,2024,5,Fall,Fall,Reading,Core,English Lit,Test,3,100,50,2025-09-21,2025-09-21,48,94,3,75,94,96,5,5,9,1,9,3.0,3.43
STU0002,2023,4,Spring,Spring,Science,Core,Earth Science,Pretest,1,100,61,2025-09-17,2025-09-17,57,56,2,83,71,96,7,4,5,1,7,3.28,4.03
STU0002,2023,4,Spring,Spring,History,Elective,World History,Assignment,2,50,83,2025-09-19,2025-09-19,61,76,10,52,89,96,7,4,5,1,7,3.28,4.03
STU0002,2023,4,Spring,Spring,Writing,Core,Creative Writing,Test,3,100,93,2025-09-21,2025-09-21,91,52,3,44,55,96,7,4,5,1,7,3.28,4.03
STU0003,2024,4,Spring,Spring,Reading,Core,English Lit,Pretest,1,100,96,2025-09-17,2025-09-17,87,57,10,63,52,80,4,5,6,4,6,2.56,4.48
STU0003,2024,4,Spring,Spring,Reading,Core,English Lit,Assignment,2,50,83,2025-09-19,2025-09-19,87,75,5,93,57,80,4,5,6,4,6,2.56,4.48
STU0003,2024,4,Spring,Spring,Science,Core,Earth Science,Test,3,100,72,2025-09-21,2025-09-21,54,96,9,75,48,80,4,5,6,4,6,2.56,4.48
STU0004,2023,6,Spring,Spring,Writing,Core,Creative Writing,Pretest,1,100,47,2025-09-17,2025-09-17,59,87,10,83,54,82,5,3,5,2,2,2.83,3.97
STU0004,2023,6,Spring,Spring,Science,Core,Earth Science,Assignment,2,50,60,2025-09-19,2025-09-19,82,84,8,51,66,82,5,3,5,2,2,2.83,3.97
STU0004,2023,6,Spring,Spring,Science,Core,Earth Science,Test,3,100,97,2025-09-21,2025-09-21,64,79,5,79,89,82,5,3,5,2,2,2.83,3.97
STU0005,2023,5,Spring,Spring,Science,Core,Earth Science,Pretest,1,100,89,2025-09-17,2025-09-17,78,72,4,55,83,92,1,3,5,0,9,2.58,3.2
STU0005,2023,5,Spring,Spring,Math,Core,Algebra I,Assignment,2,50,78,2025-09-19,2025-09-19,61,66,8,78,86,92,1,3,5,0,9,2.58,3.2
STU0005,2023,5,Spring,Spring,History,Elective,World History,Test,3,100,61,2025-09-21,2025-09-21,63,68,3,73,50,92,1,3,5,0,9,2.58,3.2
STU0006,2024,6,Fall,Fall,Science,Core,Earth Science,Pretest,1,100,83,2025-09-17,2025-09-17,67,57,1,53,49,89,6,2,5,1,1,3.99,3.02
STU0006,2024,6,Fall,Fall,Writing,Core,Creative Writing,Assignment,2,50,93,2025-09-19,2025-09-19,54,59,2,74,45,89,6,2,5,1,1,3.99,3.02
STU0006,2024,6,Fall,Fall,History,Elective,World History,Test,3,100,44,2025-09-21,2025-09-21,60,98,10,45,53,89,6,2,5,1,1,3.99,3.02
STU0007,2023,4,Fall,Fall,Reading,Core,English Lit,Pretest,1,100,86,2025-09-17,2025-09-17,84,91,3,48,60,77,6,4,6,4,7,3.28,3.94
STU0007,2023,4,Fall,Fall,Science,Core,Earth Science,Assignment,2,50,86,2025-09-19,2025-09-19,93,97,5,51,96,77,6,4,6,4,7,3.28,3.94
STU0007,2023,4,Fall,Fall,Math,Core,Algebra I,Test,3,100,64,2025-09-21,2025-09-21,76,59,1,90,99,77,6,4,6,4,7,3.28,3.94
STU0008,2024,4,Spring,Spring,Writing,Core,Creative Writing,Pretest,1,100,55,2025-09-17,2025-09-17,77,64,4,99,85,73,7,5,8,5,7,2.58,4.26
STU0008,2024,4,Spring,Spring,Reading,Core,English Lit,Assignment,2,50,54,2025-09-19,2025-09-19,50,83,9,42,64,73,7,5,8,5,7,2.58,4.26
STU0008,2024,4,Spring,Spring,Math,Core,Algebra I,Test,3,100,78,2025-09-21,2025-09-21,71,70,10,50,81,73,7,5,8,5,7,2.58,4.26
STU0009,2025,4,Fall,Fall,Math,Core,Algebra I,Pretest,1,100,98,2025-09-17,2025-09-17,81,77,8,61,82,96,3,3,9,1,7,3.61,4.41
STU0009,2025,4,Fall,Fall,Science,Core,Earth Science,Assignment,2,50,90,2025-09-19,2025-09-19,69,89,9,61,62,96,3,3,9,1,7,3.61,4.41
STU0009,2025,4,Fall,Fall,Science,Core,Earth Science,Test,3,100,45,2025-09-21,2025-09-21,75,92,2,99,66,96,3,3,9,1,7,3.61,4.41
STU0010,2024,5,Spring,Spring,Reading,Core,English Lit,Pretest,1,100,44,2025-09-17,2025-09-17,73,81,8,63,71,81,6,5,6,5,3,2.54,3.14
STU0010,2024,5,Spring,Spring,Reading,Core,English Lit,Assignment,2,50,63,2025-09-19,2025-09-19,67,89,8,71,67,81,6,5,6,5,3,2.54,3.14
STU0010,2024,5,Spring,Spring,Writing,Core,Creative Writing,Test,3,100,74,2025-09-21,2025-09-21,66,100,2,99,69,81,6,5,6,5,3,2.54,3.14
